,Distribución por fuente de ingresos,Periodo,Total,cod_mun,nom_mun,Total_num
131467,Fuente de ingreso: otros ingresos,2019,"877,0",08245,Santa Coloma de Gramenet,877.0
140328,Renta bruta media por persona,2020,"19.440,0",08266,Cerdanyola del Vallès,19440.0
140329,Renta bruta media por persona,2019,"19.400,0",08266,Cerdanyola del Vallès,19400.0
140334,Fuente de ingreso: salario,2020,"12.123,0",08266,Cerdanyola del Vallès,12123.0
140335,Fuente de ingreso: salario,2019,"12.544,0",08266,Cerdanyola del Vallès,12544.0
140340,Fuente de ingreso: pensiones,2020,"3.661,0",08266,Cerdanyola del Vallès,3661.0
140341,Fuente de ingreso: pensiones,2019,"3.501,0",08266,Cerdanyola del Vallès,3501.0
140346,Fuente de ingreso: prestaciones por desempleo,2020,"722,0",08266,Cerdanyola del Vallès,722.0
140347,Fuente de ingreso: prestaciones por desempleo,2019,"239,0",08266,Cerdanyola del Vallès,239.0
140352,Fuente de ingreso: otras prestaciones,2020,"749,0",08266,Cerdanyola del Vallès,749.0
140353,Fuente de ingreso: otras prestaciones,2019,"723,0",08266,Cerdanyola del Vallès,723.0
140358,Fuente de ingreso: otros ingresos,2020,"2.186,0",08266,Cerdanyola del Vallès,2186.0
140359,Fuente de ingreso: otros ingresos,2019,"2.394,0",08266,Cerdanyola del Vallès,2394.0
142164,Renta bruta media por persona,2020,"23.479,0",08270,Sitges,23479.0
142165,Renta bruta media por persona,2019,"23.472,0",08270,Sitges,23472.0
142170,Fuente de ingreso: salario,2020,"13.443,0",08270,Sitges,13443.0
