DATA_LECTURA,temp_mean,temp_max,temp_min,hum_mean,precipitation,solar_radiation,wind
2019-01-01,7.764285714285714,12.1,4.35,55.42857142857143,0.0,8.778571428571428,7.035714285714286
2019-01-15,6.858823529411764,11.064705882352941,4.070588235294117,70.05882352941177,1.1470588235294117,8.447058823529412,4.847058823529411
2019-02-01,9.307142857142859,14.75,6.1499999999999995,63.857142857142854,0.32142857142857145,12.178571428571429,4.535714285714286
2019-02-15,11.964285714285714,17.442857142857143,8.585714285714285,60.142857142857146,0.0,14.307142857142859,2.935714285714286
2019-03-01,11.771428571428572,17.235714285714284,8.428571428571429,69.85714285714286,0.02142857142857143,14.142857142857142,4.121428571428572
2019-03-15,12.505882352941176,18.429411764705883,8.723529411764707,53.88235294117647,0.011764705882352941,20.04705882352941,3.8
2019-04-01,11.321428571428571,17.17142857142857,7.742857142857143,68.35714285714286,1.8499999999999999,18.2,4.142857142857143
2019-04-15,12.96875,17.35625,10.34375,72.375,0.7374999999999999,15.975,5.1375
2019-05-01,14.264285714285714,18.849999999999998,10.857142857142858,68.92857142857143,2.2,21.814285714285713,4.185714285714286
2019-05-15,15.217647058823529,19.929411764705883,11.876470588235295,69.29411764705883,4.641176470588236,22.099999999999998,4.029411764705882
2019-06-01,18.178571428571427,23.164285714285715,14.678571428571429,60.92857142857143,1.45,24.207142857142856,4.2
2019-06-15,23.55625,28.9,19.40625,56.9375,0.0,29.19375,4.0875
2019-07-01,25.114285714285717,30.407142857142855,21.02857142857143,61.285714285714285,1.2857142857142858,25.614285714285717,3.414285714285714
2019-07-15,24.235294117647058,29.38823529411765,20.294117647058822,67.47058823529412,3.5470588235294116,24.894117647058824,3.2470588235294118
2019-08-01,24.45,29.435714285714287,20.82857142857143,65.78571428571429,0.9571428571428572,24.571428571428573,3.6214285714285714
2019-08-15,23.970588235294116,28.988235294117647,20.705882352941178,67.82352941176471,0.6235294117647059,20.74705882352941,3.4823529411764707
2019-09-01,20.592857142857145,25.849999999999998,16.914285714285715,67.28571428571429,4.6499999999999995,16.964285714285715,4.7
2019-09-15,21.0375,25.49375,18.10625,72.6875,0.41874999999999996,16.50625,3.69375
2019-10-01,18.55,22.764285714285712,15.942857142857145,82.28571428571429,0.37142857142857144,10.635714285714286,3.478571428571428
2019-10-15,16.670588235294115,21.11764705882353,14.070588235294117,71.82352941176471,4.576470588235294,10.74705882352941,4.435294117647058
2019-11-01,11.685714285714285,16.057142857142857,8.714285714285714,65.07142857142857,1.1357142857142857,9.235714285714286,4.921428571428572
2019-11-15,10.19375,14.575,7.63125,70.9375,1.56875,8.83125,4.65
2019-12-01,9.950000000000001,13.064285714285715,7.607142857142857,75.71428571428571,7.478571428571429,6.228571428571429,5.485714285714286
2019-12-15,11.258823529411766,14.294117647058824,9.188235294117646,75.82352941176471,0.6529411764705882,6.4941176470588236,4.141176470588236
2020-01-01,8.514285714285714,12.728571428571428,5.728571428571429,70.5,1.2142857142857142,8.392857142857142,4.621428571428572
2020-01-15,9.911764705882353,13.552941176470588,7.423529411764706,75.29411764705883,4.123529411764705,7.129411764705883,5.31764705882353
2020-02-01,11.971428571428572,16.335714285714285,9.192857142857141,76.28571428571429,0.05714285714285715,9.428571428571429,3.7857142857142856
2020-02-15,11.74,16.253333333333334,8.493333333333334,72.33333333333333,0.16000000000000003,13.06,4.2
2020-03-01,11.75,17.22142857142857,7.764285714285714,65.71428571428571,0.15,14.450000000000001,3.9
2020-03-15,10.035294117647059,14.264705882352942,7.6,77.58823529411765,3.4411764705882355,12.535294117647059,4.747058823529412
2020-04-01,12.450000000000001,16.892857142857142,9.721428571428572,69.71428571428571,2.8000000000000003,18.535714285714285,4.0285714285714285
2020-04-15,14.34375,18.125,11.7,80.0625,13.4625,17.3,4.1125
2020-05-01,17.535714285714285,21.87142857142857,14.235714285714286,72.42857142857143,1.5357142857142858,20.25,3.9285714285714284
2020-05-15,19.61176470588235,24.31764705882353,15.988235294117647,63.76470588235294,0.5588235294117647,26.27058823529412,3.7470588235294118
2020-06-01,17.464285714285715,21.900000000000002,14.35,76.85714285714286,3.8999999999999995,20.17142857142857,3.542857142857143
2020-06-15,21.0375,25.2,17.7875,74.125,1.1125,24.7875,3.0375
2020-07-01,23.400000000000002,28.22142857142857,19.907142857142855,66.92857142857143,0.6142857142857142,25.3,3.1999999999999997
2020-07-15,24.68235294117647,29.72941176470588,21.011764705882353,64.41176470588235,0.9,24.947058823529414,2.9647058823529413
2020-08-01,25.735714285714288,30.707142857142856,22.37857142857143,61.92857142857143,0.1357142857142857,23.42142857142857,3.65
2020-08-15,23.288235294117648,28.688235294117646,19.99411764705882,75.11764705882354,0.6529411764705884,19.670588235294115,3.5294117647058822
2020-09-01,21.807142857142857,27.178571428571427,18.342857142857145,65.64285714285714,3.7857142857142856,17.87857142857143,3.7714285714285714
2020-09-15,19.7375,24.83125,16.48125,66.0625,0.5812499999999999,15.56875,3.79375
2020-10-01,15.471428571428572,20.928571428571427,11.778571428571428,69.64285714285714,1.5999999999999999,11.778571428571428,3.9428571428571426
2020-10-15,15.176470588235293,20.2,12.01764705882353,67.05882352941177,0.17647058823529413,9.352941176470589,4.0588235294117645
2020-11-01,14.87142857142857,18.62857142857143,12.521428571428572,78.85714285714286,1.3571428571428572,9.278571428571428,3.9071428571428575
2020-11-15,12.58125,16.9625,10.2625,77.5625,2.075,6.81875,5.1375
2020-12-01,8.057142857142857,11.842857142857143,5.442857142857143,70.57142857142857,0.13571428571428573,6.228571428571429,4.421428571428572
