Codi,Any,Data,Nom del festiu
F2020-G012,2020,26/12/2020,Sant Esteve
F2021-G001,2021,01/01/2021,Cap d'Any
F2021-G002,2021,06/01/2021,Reis
F2021-G003,2021,02/04/2021,Divendres Sant
F2021-G004,2021,05/04/2021,Dilluns de Pasqua Florida
F2021-G005,2021,01/05/2021,Festa del Treball
F2021-G006,2021,24/06/2021,Sant Joan
F2021-G007,2021,11/09/2021,Diada Nacional de Catalunya
F2021-G008,2021,12/10/2021,Festa Nacional d'Espanya
F2021-G009,2021,01/11/2021,Tots Sants
F2021-G010,2021,06/12/2021,Dia de la Constitució
F2021-G011,2021,08/12/2021,La Immaculada
F2021-G012,2021,25/12/2021,Nadal
F2022-G001,2022,01/01/2022,Cap d'Any
F2022-G002,2022,06/01/2022,Reis
F2022-G003,2022,15/04/2022,Divendres Sant
F2022-G004,2022,18/04/2022,Pasqua Florida
F2022-G005,2022,06/06/2022,Pasqua Granada
F2022-G006,2022,24/06/2022,Sant Joan
F2022-G007,2022,15/08/2022,L'Assumpció
F2022-G008,2022,12/10/2022,Festa Nacional d'Espanya
F2022-G009,2022,01/11/2022,Tots Sants
F2022-G010,2022,06/12/2022,Dia de la Constitució
F2022-G011,2022,08/12/2022,La Immaculada
F2022-G012,2022,26/12/2022,Sant Esteve
